tMs,rssMb,heapMb,handles,sockets,timers,elP99Ms,reqs
1,67.14,13.75,23,22,0,0,0
2002,154.19,49.34,54,53,0,17.78,11348
4003,153.73,51.29,53,52,0,17.3,24698
6004,153.29,34.41,53,52,0,15.57,39668
8004,156.36,43.85,53,52,0,14.25,56238
10003,156.06,47.68,53,52,0,14.21,72608
12005,154.92,61.9,53,52,0,14.2,89628
14006,154.49,63.25,53,52,0,14.05,105868
16006,153.68,35.08,53,52,0,13.93,123018
18006,151.66,23.3,53,52,0,13.63,138578
20006,152.6,16.84,53,52,0,13.62,154408
22007,154.4,39.51,53,52,0,13.61,169178
24008,155.2,53.67,53,52,0,13.71,183278
26009,153.25,40.58,53,52,0,13.83,198828
28009,151.48,31.25,53,52,0,13.84,214448
30509,132.11,12.64,33,32,0,13.85,228158
